id,text,aspects_json
203973063,"This game IS NOT READY for anything. Stormgate uses 100% of my i7-6700K CPU and Star Craft 2 looks better, is better, and runs at 70-100 FPS constantly. I think Stormgate is really cool. But it needs many more years of development. Would also be great if they ditched Unreal Engine 5. I think it is a lot of ""requirement"" for an unequal ""return"" ratio for graphics and optimization.","[{""aspect"": ""General"", ""sentiment"": ""Negative"", ""snippet"": ""This game IS NOT READY for anything""}, {""aspect"": ""Performance"", ""sentiment"": ""Negative"", ""snippet"": ""Stormgate uses 100% of my i7-6700K CPU and Star Craft 2 looks better, is better, and runs at 70-100 FPS constantly.""}, {""aspect"": ""Graphics"", ""sentiment"": ""Neutral"", ""snippet"": ""i think it is a lot of \""requirement\"" for an unequal \""return\"" ratio for graphics and optimization.""}]"
203971964,"I p?es ob?asn�� bugy z��bava. Jako obvykle hraju jen kampa��, tak?e nemohu hodnotit multiplayer","[{""aspect"": ""Bugs"", ""sentiment"": ""Negative"", ""snippet"": ""i p?es ob?asn�� bugy z��bava.""}, {""aspect"": ""Gameplay"", ""sentiment"": ""Neutral"", ""snippet"": ""tak?e nemohu hodnotit multiplayer""}]"
203914073,"Decent enough to play around if you enjoy RTS, but unfortunately this is NOT the StarCraft 3 we've all been waiting for","[{""aspect"": ""Gameplay"", ""sentiment"": ""Positive"", ""snippet"": ""decent enough to play around if you enjoy rts""}, {""aspect"": ""Nostalgia/DevPedigree"", ""sentiment"": ""Negative"", ""snippet"": ""but unfortunately this is not the starcraft 3 we've all been waiting for""}]"
203868860,This ain't it,"[{""aspect"": ""General"", ""sentiment"": ""Negative"", ""snippet"": ""this ain't it""}]"
203864276,Very great! Cuttn edge graphics and effect,"[{""aspect"": ""Graphics"", ""sentiment"": ""Positive"", ""snippet"": ""cuttn edge graphics and effect""}]"
203851024,"There are a few issues with the game that need to get fixed but I have had more fun than not and with the game being free, I feel like its a must download if you like Starcraft 2","[{""aspect"": ""General"", ""sentiment"": ""Positive"", ""snippet"": ""there are a few issues with the game that need to get fixed but i have had more fun than not and with the game being free""}, {""aspect"": ""Bugs"", ""sentiment"": ""Positive"", ""snippet"": ""there are a few issues with the game that need to get fixed but i have had more fun than not and with the game being free""}, {""aspect"": ""Nostalgia/DevPedigree"", ""sentiment"": ""Positive"", ""snippet"": ""i feel like its a must download if you like starcraft 2""}]"
203835195,"TLDR;

 Would not recommend where it is now, CoOp is a lot of fun but it is so expensive to play as each commander costs like $5 minimum. Campaign is alright, amazing writing but just like coop its not worth $30 for about 3 hours of gameplay.

Long Version:

Pros:
 - A lot of differences to other RTS's, does not feel copy-paste
 - Gameplay is smooth and different factions are both diverse but still easy to pick up
 - Factions feel like they specialize in one thing over another, which makes you really think about what to play

Cons:

 - Some factions are too specialized, so they can feel bland and act like one-trick-ponies.
 - The cost, it is ridiculous for a game that is still missing about 60% of the overall game with only 1 campaign and minimal maps.","[{""aspect"": ""Gameplay"", ""sentiment"": ""Positive"", ""snippet"": ""coop is a lot of fun""}, {""aspect"": ""Monetization"", ""sentiment"": ""Negative"", ""snippet"": ""it is so expensive to play as each commander costs like $5 minimum.""}]"
203825198,"Personally I enjoy the game. I play with some friends or just on my own against AI and it's quite enjoyable, The Celestials are a fun faction. I don't know much about the campaign as I haven't purchased that but I can say that in regards to free to play content it's entertaining, especially if you play with a few friends who like strategy. Hopefully the game will be developed still regardless of the Mixed reviews as it does have potential and for some of us it is really fun.","[{""aspect"": ""Gameplay"", ""sentiment"": ""Positive"", ""snippet"": ""i play with some friends or just on my own against ai and it's quite enjoyable""}]"
203801370,"It's not worth the price at all. I bought the ultimate edition and i regret it painfully. The campaign story is bland, characters are meh, and some of the missions are just poorly designed. Does it have potential to be fixed? Maybe, but I would hold off on purchasing anything from this for a long while.","[{""aspect"": ""Monetization"", ""sentiment"": ""Neutral"", ""snippet"": ""It's not worth the price at all.""}, {""aspect"": ""Narrative"", ""sentiment"": ""Negative"", ""snippet"": ""The campaign story is bland, characters are meh, and some of the missions are just poorly designed""}]"
203776011,"Before you purchase anything in this game, please be aware that this is an online-only game that will likely shut down its servers very soon. Official financial statements revealed that Frost Giant, after multiple funding rounds, is out of money. According to their CEO they are trying to to acquire new partners. However, as of now I think it's fair to say the chances for successfully securing meaningful additional funding are very low. Despite of that, the game still offers purchases in form of campaign chapters - some of which are not release yet and probably never will -, heroes and other microtransaction. If you want to go for one of these purchases, please keep in mind that they may become inaccessible in the near future or, in case of the later campaign chapters, won't even become accessible in the first place.","[{""aspect"": ""Monetization"", ""sentiment"": ""Negative"", ""snippet"": ""before you purchase anything in this game, please be aware that this is an online-only game that will likely shut down its servers very soon.""}]"
203754247,"Unfortunately, I couldn��t be more wrong about this, it��s DOA. I wanted this to be great so badly, but unfortunately it��s just Temu StarCraft 2, and the worst part is how badly they treated their backers by charging them again for the Champaign and coop commanders. Maybe next time they will try and stretch the dollars a bit farther instead of paying themselves 6 figure salaries for a game when they didn��t even know if it would make money, very sad.","[{""aspect"": ""Nostalgia/DevPedigree"", ""sentiment"": ""Negative"", ""snippet"": ""but unfortunately it��s just temu starcraft 2""}, {""aspect"": ""Art"", ""sentiment"": ""Neutral"", ""snippet"": ""and the worst part is how badly they treated their backers by charging them again for the champaign and coop commanders.""}]"
203712191,"I just cannot recommend this game. Simply put the game feels unfinished and feels as though they wanted to do multiple things at once with no real plan. The campaign I've heard was bad, though I've not played it. The multiplayer I heard was real bad even though I've not played it. I've played nothing but co-op and it just doesn't feel good compared to some other RTS games. SC2 in particular. In Stormgate the heroes feel very unique, but their armies and play styles don't. Is Blockade a better defensive hero than others? yes, but every other hero can still play defensive and have it be of similar power level. He doesn't get better siege tanks or hedgehogs which are great defensive units who have a siege mode, but he has better infantry that are harder to kill, but that describes most heroes. Meanwhile in SC2 each hero plays drastically different from one another and its much cheaper. SImply put This game just doesn't have anything that makes me say ""This is why I play stormgate and not X.""","[{""aspect"": ""Matchmaking"", ""sentiment"": ""Negative"", ""snippet"": ""The multiplayer I heard was real bad even though I've not played it.""}, {""aspect"": ""Balance"", ""sentiment"": ""Negative"", ""snippet"": ""op and it just doesn't feel good compared to some other rts games.""}, {""aspect"": ""Nostalgia/DevPedigree"", ""sentiment"": ""Negative"", ""snippet"": ""it just doesn't feel good compared to some other RTS games. SC2 in particular""}]"
203703951,"I Personally enjoy the game i do think it should've waited to go to full launch but the financials from my understanding wouldn't allow for that, the game has so much potential and i hope the devs get the time, money and support from the community to be able to realise it all in all the campaign's fun enough that i plan on buying the campaign pack and the Skirmish is good fun with friends either way most of the game is free so your crazy if you don't pick the game up and give it whirl.","[{""aspect"": ""General"", ""sentiment"": ""Neutral"", ""snippet"": ""the game has so much potential and i hope the devs get the time""}, {""aspect"": ""Gameplay"", ""sentiment"": ""Positive"", ""snippet"": ""money and support from the community to be able to realise it all in all the campaign's fun enough that i plan on buying the campaign pack and the skirmish is good fun with friends either way most of the game is free so your crazy if you don't pick the game up and give it whirl.""}, {""aspect"": ""Support"", ""sentiment"": ""Positive"", ""snippet"": ""money and support from the community to be able to realise it all in all the campaign's fun enough that i plan on buying the campaign pack and the skirmish is good fun with friends either way most of the game is free so your crazy if you don't pick the game up and give it whirl.""}, {""aspect"": ""Support"", ""sentiment"": ""Positive"", ""snippet"": ""money and support from the community to be able to realise it all in all the campaign's fun enough that i plan on buying the campaign pack and the skirmish is good fun with friends either way most of the game is free so your crazy if you don't pick the game up and give it whirl.""}]"
203672967,"My friends and I used to play Starcraft almost daily.

This was an incredible experience and i'm excited to see where it goes.

Not really interested in the story, but ill give it a chance.
","[{""aspect"": ""General"", ""sentiment"": ""Positive"", ""snippet"": ""This was an incredible experience and i'm excited to see where it goes.""}, {""aspect"": ""Nostalgia/DevPedigree"", ""sentiment"": ""Neutral"", ""snippet"": ""my friends and i used to play starcraft almost daily..""}, {""aspect"": ""Progression"", ""sentiment"": ""Neutral"", ""snippet"": ""this was an incredible experience and i'm excited to see where it goes..""}]"
203647308,"Nice campaign. PvP is good as well, but only a few players, that's why matchmaking is bad.
Coop matchmaking is awful because of the lack of players.

Overall game is good, but without players, it will likely die.","[{""aspect"": ""Gameplay"", ""sentiment"": ""Positive"", ""snippet"": ""Nice campaign. PvP is good as well""}, {""aspect"": ""Matchmaking"", ""sentiment"": ""Negative"", ""snippet"": ""that's why matchmaking is bad.""}, {""aspect"": ""Matchmaking"", ""sentiment"": ""Negative"", ""snippet"": ""coop matchmaking is awful because of the lack of players.""}]"
203620261,"I really wanted to believe in the best regarding this game. So after all the marketing I finally tried it. The game itself looks good, the story is good so far as well, but as it was mentioned in other reviews, there is definitely an ""inspiration"" in Warcraft. But here comes the bad part. Microtransactions... In campaign... Not even full custom save functionality is implemented at this point, even though they are still charging money for it... This is simply insane. This is one of the biggest disappointments of all times for me. Greed has won over quality.","[{""aspect"": ""Monetization"", ""sentiment"": ""Negative"", ""snippet"": ""Not even full custom save functionality is implemented at this point, even though they are still charging money for it.""}, {""aspect"": ""Narrative"", ""sentiment"": ""Positive"", ""snippet"": ""the story is good so far as well""}=]"
203612567,Wanted to like it. Controls were too cumbersome. Felt like I was being forced to be some speed player when all I wanted to do was ASWD with the camera and be a filthy mouse player.,"[{""aspect"": ""Controls"", ""sentiment"": ""Negative"", ""snippet"": ""controls were too cumbersome.""}]"
203601685,Its fun,"[{""aspect"": ""Gameplay"", ""sentiment"": ""Positive"", ""snippet"": ""its fun""}]"
203521723,nah,"[{""aspect"": ""General"", ""sentiment"": ""Negative"", ""snippet"": ""nah""}]"
203411842,"As something that has been rumored as the spiritual successor to Starcraft 2, I would say the game is doing pretty well. It controls very smoothly and is very responsive. It feels good to play. I would say it is not currently able to compete with SC2 as the mainstream RTS, but I could see future iterations of it overtaking SC2 with time.","[{""aspect"": ""Nostalgia/DevPedigree"", ""sentiment"": ""Neutral"", ""snippet"": ""as something that has been rumored as the spiritual successor to starcraft 2""}, {""aspect"": ""Controls"", ""sentiment"": ""Neutral"", ""snippet"": ""it controls very smoothly and is very responsive.""}, {""aspect"": ""Gameplay"", ""sentiment"": ""Positive"", ""snippet"": ""it feels good to play.""}]"
203411542,this should of been a 1 time purchase of 30$. not a free to play 3 missions then over 80 cad in dlcs to play it.,"[{""aspect"": ""Monetization"", ""sentiment"": ""Negative"", ""snippet"": ""this should of been a 1 time purchase of 30$.""}]"
203370427,"The game is a very tough sell. It has a decent amount of potential, but ultimately it simply falls too short. $25 for barely three hours worth of content is simply nuts, just for starters. Even Tempest Rising managed something like 20 missions on its release (10 for each faction), and these guys are wanting $25 for 12 missions full of AI ""assisted"" slop, poor voice acting, etc? Honestly I expected better out of a company full of former Blizzard employees, but if Stormgate in its current iteration is all they're able to manage, maybe the reason they're no longer employed by Blizzard Entertainment is because they were bad at their jobs-- which is a pretty low bar, considering Blizzard's quality over the years.","[{""aspect"": ""Gameplay"", ""sentiment"": ""Neutral"", ""snippet"": ""even tempest rising managed something like 20 missions on its release (10 for each faction)""}, {""aspect"": ""Monetization"", ""sentiment"": ""Negative"", ""snippet"": ""and these guys are wanting $25 for 12 missions full of ai \""assisted\"" slop""}, {""aspect"": ""Audio"", ""sentiment"": ""Negative"", ""snippet"": ""poor voice acting""}, {""aspect"": ""Progression"", ""sentiment"": ""Neutral"", ""snippet"": ""honestly i expected better out of a company full of former blizzard employees""}, {""aspect"": ""Nostalgia/DevPedigree"", ""sentiment"": ""Neutral"", ""snippet"": ""honestly i expected better out of a company full of former blizzard employees""}]"
203339120,"very fun, keep updating","[{""aspect"": ""Gameplay"", ""sentiment"": ""Positive"", ""snippet"": ""very fun""}]"
203307528,"Its ok if you just play Skirmish because its free, but if you want to play the campaign, its 24euros, if you want to play co-op mission, you have to buy the hero to evolve it past level 5 and its 8 euros 1 hero. Im totally against buying these stupid hero and even if they stick with this, its not worth more than 0.5-1 euro max","[{""aspect"": ""Gameplay"", ""sentiment"": ""Neutral"", ""snippet"": ""its ok if you just play skirmish because its free""}, {""aspect"": ""Balance"", ""sentiment"": ""Neutral"", ""snippet"": ""op mission""}, {""aspect"": ""Audio"", ""sentiment"": ""Neutral"", ""snippet"": ""you have to buy the hero to evolve it past level 5 and its 8 euros 1 hero.""}]"
203272533,This game is an "almost".  I like it because it wets my Starcraft 2 appetite.  I enjoy the campaign and I'm into the storyline but its frustrating to play at times.  It kinda blows my mind how FPS are so easy for game company's to make but the RTS genre is simply impossible.  I guess I'll go back and play the Starcraft 2 campaigns again for the millionth time.,"[{""aspect"": ""Nostalgia/DevPedigree"", ""sentiment"": ""Neutral"", ""snippet"": ""i like it because it wets my starcraft 2 appetite.""}, {""aspect"": ""Gameplay"", ""sentiment"": ""Negative"", ""snippet"": ""i enjoy the campaign and i'm into the storyline but its frustrating to play at times.""}, {""aspect"": ""Performance"", ""sentiment"": ""Neutral"", ""snippet"": ""it kinda blows my mind how fps are so easy for game company's to make but the rts genre is simply impossible.""}]"
203237383,"Since there is no news about StarCcraft 3 - I support this kind of games, because I love single player campaigns for a weekend.","[{""aspect"": ""Support"", ""sentiment"": ""Neutral"", ""snippet"": ""i support this kind of games""}, {""aspect"": ""Gameplay"", ""sentiment"": ""Positive"", ""snippet"": ""because i love single player campaigns for a weekend.""}]"
203234758,"I��ve never really experienced the thrill of commanding an army in the future. Since I have better games to play, I never stuck with it long enough to fully understand or learn it. It just doesn��t feel engaging enough.","[{""aspect"": ""Progression"", ""sentiment"": ""Neutral"", ""snippet"": ""i��ve never really experienced the thrill of commanding an army in the future.""}, {""aspect"": ""Gameplay"", ""sentiment"": ""Neutral"", ""snippet"": ""since i have better games to play""}]"
203232980,"A garbage uninspired mess. No reason not to play SC2, AOE2, AOE4, AOM, WC3 and plenty of other indie offerings than this game desperately trying to be SC2 and failing when SC2 is still right there.","[{""aspect"": ""Gameplay"", ""sentiment"": ""Neutral"", ""snippet"": ""no reason not to play sc2""}, {""aspect"": ""Nostalgia/DevPedigree"", ""sentiment"": ""Neutral"", ""snippet"": ""no reason not to play sc2""}]"
203201838,.,"[{""aspect"": ""Gameplay"", ""sentiment"": ""Neutral"", ""snippet"": "".""}]"
203138841,"I mean, it seems like it could be a good game, but this game needs like another year or two of early access, its no where near done it almost every regard.","[{""aspect"": ""Gameplay"", ""sentiment"": ""Neutral"", ""snippet"": ""i mean, it seems like it could be a good game, but this game needs like another year or two of early access, its no where near done it almost every regard.""}]"
203125072,Game runs smooth for a generic classic RTS game. I'm hopeful for this game. Not as the level of SC but its nice to have an RTS game like this getting released in 2025.,"[{""aspect"": ""Nostalgia/DevPedigree"", ""sentiment"": ""Positive"", ""snippet"": ""game runs smooth for a generic classic rts game.""}, {""aspect"": ""Balance"", ""sentiment"": ""Neutral"", ""snippet"": ""i'm hopeful for this game.""}]"
203124452,afgafagafgafgdsrwe,"[{""aspect"": ""Gameplay"", ""sentiment"": ""Neutral"", ""snippet"": ""afgafagafgafgdsrwe""}]"
203121213,"Game itself is fairly solid. The problem is the cost it took to get it that far and now it seems there is none leftover.
Not sure how you make a profitable RTS like this, probably one of the hardest challenges. RTS genre is already very niche, it's not like it used to be.","[{""aspect"": ""Gameplay"", ""sentiment"": ""Positive"", ""snippet"": ""game itself is fairly solid""}]"
203112959,"Wish I could give this game a positive review.
I��ve been following its development since the very beginning. It had a lot of promising ideas, and the team behind it seemed genuinely passionate, constantly keeping the community updated. For RTS fans, this game generated a lot of hype �� especially given the current inactive state of StarCraft 2 and Warcraft 3. It truly felt like it could be the next big thing.

Unfortunately, the release was disappointing. The game isn��t very well optimized. Unreal Engine 5 is impressive, but for an RTS, performance is everything. Real-time strategy games need to be fast-paced and responsive, yet networking issues and graphical hiccups break the flow of gameplay. I��d imagine some of this has improved over time, but the core gameplay still feels uncomfortable. There are too many misclicks, unintended commands, and awkward unit movements, which make the overall experience frustrating.

Personally, I��d love to see the developers focus more on campaign content or single-player experiences, because the current PvP feels far from enjoyable.","[{""aspect"": ""Balance"", ""sentiment"": ""Neutral"", ""snippet"": ""i��ve been following its development since the very beginning.""}, {""aspect"": ""Controls"", ""sentiment"": ""Neutral"", ""snippet"": ""and the team behind it seemed genuinely passionate""}, {""aspect"": ""Support"", ""sentiment"": ""Neutral"", ""snippet"": ""constantly keeping the community updated.""}, {""aspect"": ""Nostalgia/DevPedigree"", ""sentiment"": ""Neutral"", ""snippet"": ""especially given the current inactive state of starcraft 2 and warcraft 3.""}, {""aspect"": ""Performance"", ""sentiment"": ""Neutral"", ""snippet"": ""the game isn��t very well optimized.""}, {""aspect"": ""Gameplay"", ""sentiment"": ""Neutral"", ""snippet"": ""yet networking issues and graphical hiccups break the flow of gameplay.""}, {""aspect"": ""Bugs"", ""sentiment"": ""Neutral"", ""snippet"": ""yet networking issues and graphical hiccups break the flow of gameplay.""}, {""aspect"": ""Progression"", ""sentiment"": ""Negative"", ""snippet"": ""which make the overall experience frustrating..""}]"
203110212,"I am a big fan of RTS games. I loved SC2. I even liked Tempest Rising. But I cannot approve this game.
This is not Diablo meets StarCraft. This is not StarCraft III. This is Temu StarCraft at its best or Concord level failure at its worst. Lots of bugs, flawed mechanics, boring characters, childish art, bad unit and game design, millennial dialogue, and a boring campaign. 5.5/10.","[{""""aspect"""": """"Nostalgia/DevPedigree"""", """"sentiment"""": """"Negative"""", """"snippet"""": """"This is Temu StarCraft at its best or Concord level failure at its worst""""}, {""""aspect"""": """"Bugs"""", """"sentiment"""": """"Negative"""", """"snippet"""": """"Lots of bugs""""}, {""""aspect"""": """"Gameplay"""", """"sentiment"""": """"Negative"""", """"snippet"""": """"flawed mechanics, bad unit and game design, boring campaign""""}, {""""aspect"""": """"Art"""", """"sentiment"""": """"Negative"""", """"snippet"""": """"childish art""""}]"
203103990,"Plays really well and has a solid multiplayer and skirmish mode. Well worth playing for these modes alone. I originally didn't really resonate with the races at first but once I started to learn them a bit better, it started to click more.

However the campaign suffers from modern writing and it makes it quite hard to take seriously. The overall story seems great actually but the dialogue is really bad at points. I feel like they definitely hired terminally online writers that need to disconnect from twitter and maybe spend some more time reading. I actually think this game would have done a lot better if their free missions didn't have such cringe dialogue that is so off putting. But with that aside, the missions are fun and the game plays really well and feels polished.

Overall if Frost Giant, can overcome its difficulties with the game and attract more players, I am really optimistic that this could be one of the great Starcraft like RTS games. We will see if they can secure that future though as the player numbers are low as of now.","[{""""aspect"""": """"Gameplay"""", """"sentiment"""": """"Positive"""", """"snippet"""": """"Plays really well and has a solid multiplayer and skirmish mode""""}, {""""aspect"""": """"Progression"""", """"sentiment"""": """"Positive"""", """"snippet"""": """"once I started to learn them a bit better, it started to click more""""}, {""""aspect"""": """"Narrative"""", """"sentiment"""": """"Negative"""", """"snippet"""": """"the campaign suffers from modern writing and the dialogue is really bad at points""""}, {""""aspect"""": """"General"""", """"sentiment"""": """"Positive"""", """"snippet"""": """"the missions are fun and the game plays really well and feels polished""""}]"
203095097,"It's like SC2. I enjoyed it. The micro transaction is for the campaign 1 2 etc, co-op heroes, and cosmetics. It's like teh SC2 marketplace.","[{""aspect"": ""Gameplay"", ""sentiment"": ""Positive"", ""snippet"": ""It's like SC2. I enjoyed it.""}, {""aspect"": ""Monetization"", ""sentiment"": ""Neutral"", ""snippet"": ""The micro transaction is for the campaign 1 2 etc, co-op heroes, and cosmetics.""}]"
203090852,BG,"[{""aspect"": ""General"", ""sentiment"": ""Negative"", ""snippet"": ""BG""}]"
203089950,It just makes me want to play Starcraft.,"[{""aspect"": ""Nostalgia/DevPedigree"", ""sentiment"": ""Positive"", ""snippet"": ""It just makes me want to play Starcraft.""}]"
